id,location,company,department,waste_type,description
1,goa,it,production,paper,15 Kg
2,goa,it,rma,plastic,11 kg
3,goa,it,warehouse,metals,3 kg Iron Rods
4,goa,it,production,e-waster,5 Waste PC
5,goa,it,rma,paper,hiohi
6,goa,it,rma,hazardous,asdf
7,goa,it,rma,hazardous,sdf
8,goa,it,rma,hazardous,asdf
9,goa,it,rma,e-waster,fdgjfgkj
10,goa,it,rma,hazardous,sss
11,goa,it,rma,hazardous,random
12,goa,it,rma,hazardous,aa
13,goa,Smartlink Network Systems Ltd.,hr & admin,aging material,Nothing
